(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(727)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(860)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(883)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(887)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(894)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(923)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(982)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(992)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1041)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1048)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1084)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1100)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1132)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1136)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1206)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1227)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1234)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1239)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1286)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1324)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1337)), {C=0.0009352037408149632, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1370)), {C=0.0008016032064128256, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1419)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1437)), {C=0.0006680026720106881, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006680026720106881, S=0.00048633401420095323}
